id,jobnumber,query,prevalidated
200b25a5bee64e5eb582a4420784284e111,1.0,"trader, provisions,  buying and selling of provisions goods like soap, omo, biscuit, vegetables and groundnut oils buying and selling of provisions goods like soap, omo, biscuit, vegetables and groundnut oils and others",5211
200b25a5bee64e5eb582a4420784284e121,1.0,"awara food maker and sales, using suya beans for preparing and frying awara cake for sales",9411
82e65dcc2b5b4ded93bcaad8a16ae39a111,1.0,"trader, buying and selling of motorcycle spare parts buying and selling of motorcycle spare parts",5221
82e65dcc2b5b4ded93bcaad8a16ae39a121,1.0,"rearing livestock, like goats and sheeps rearing livestock, watering, feeding livestock and taking care of there health",6121
82e65dcc2b5b4ded93bcaad8a16ae39a131,1.0,"livestock rearer assistant, fetching water for watering livestock and buying animals feeds",6121
654339705b1044618a08a29dc1423e41111,1.0,"trader , caps and perfume   seller, buying and selling of new caps and perfume",5221
654339705b1044618a08a29dc1423e41121,1.0,"livestock rearer, goats, sheeps and chicken watering livestock, feeding and taking care of their health",6121
26d9336cf0944eecaaa3cc3f91c35a4a111,1.0,"trader,  buying and selling of livestock like goats and sheeps buying and selling of livestock, like goats and sheeps",5211
26d9336cf0944eecaaa3cc3f91c35a4a121,1.0,awara food seller using suya beans for preparing and frying awara cake for sales,5212
17ec9d70848e4142a573d76fdfdc7153111,1.0,"foods seller, rice and beans preparing and cooking food for sales, rice and beans",9411
17ec9d70848e4142a573d76fdfdc7153121,1.0,"food sales assistant, helping his mother for selling rice and beans fetching water for preparing  food, and selling rice and beans",9411
30d38a3d81a7407a94532263e950e45c111,1.0,"trader, buying and selling of groundnut, soap, omo,sweets and other provision goods buying and selling of provision goods like sugar, salt, maggi, groundnut, sweets and others",5211
30d38a3d81a7407a94532263e950e45c121,1.0,"shoe shanner and repair, shoe shanner and repairing shoes, and bags .",7536
30d38a3d81a7407a94532263e950e45c131,1.0,"livestock rearer assistant, like goats and chickens helping her mother for  fetching water for watering livestock , clearing space for livestock and other livestock activities",6121
5ae5e4e616ad4880ad6b762c2a6afb59111,1.0,"fruit and vegetables seller, buying and selling of fruits and vegetables like tomatoe  ,pepper, onion, orange, and other vegetables goods",5211
5ae5e4e616ad4880ad6b762c2a6afb59121,1.0,"sales assistant, helping her grandmother  on selling of vegetables and fruit goods, like tomatoes, papper, onions, orange and others",5211
14ff16cc120542cdb49cab82dd1ad16c111,1.0,"tailor, dressmaker, tailoring , cutting yard, design and sewing for making dresses",7531
14ff16cc120542cdb49cab82dd1ad16c121,1.0,"rearing livestock, goats and sheeps feeding livestock, watering and taking care of their health",6121
95763fcabcfc4cc6a5bb0be34fe88253111,1.0,"breeding, raise and sell, cattle  ,sheeps, goat and chickens feeding livestock ,watering, clearing the space and taking care of their health",6121
95763fcabcfc4cc6a5bb0be34fe88253121,1.0,"breeding, raising livestock and sell rearing livestock, feeding, watering and taking care of their health, goat and sheeps",6121
95763fcabcfc4cc6a5bb0be34fe88253131,1.0,"trader,  buying and selling of animals feeds buying , measuring and selling of animals feeds (dussa)",9520
95763fcabcfc4cc6a5bb0be34fe88253151,1.0,"trader, groundnut and vegetables oils seller buying, measuring and selling of groundnut and vegetables oils",9520
95763fcabcfc4cc6a5bb0be34fe88253161,1.0,"trader, groundnut oil sales assistant selling of groundnut and vegetable oils ,  for her mother",9520
8127c4325ca9480489ae388d005ae80b111,1.0,"trader, buying and selling of plastic products, like plastic bucket, plastic basin, and other plastic products buying and selling of plastic products like plastic bucket, plastic basin and others",5211
8127c4325ca9480489ae388d005ae80b121,1.0,buying and selling of fresh rice ( gumi) buying measuring and selling of rice (gumi),5211
e72f64a043d14929b647a13bc5d0d6ce111,1.0,"butcher, buying and selling of fresh cow and goats meat buying,washing, cutting, measuring  and selling of fresh meat",7511
e72f64a043d14929b647a13bc5d0d6ce121,1.0,"tailor, dressmaker, tailoring activities, cutting yard, design, style and sewing to make dresses for women only",7531
e72f64a043d14929b647a13bc5d0d6ce131,1.0,"awara food seller, using suya beans for preparing and frying for making awara cake for sales",9411
e72f64a043d14929b647a13bc5d0d6ce141,1.0,"trader , bread and cake seller, buying and selling of bread and cake,",5212
1784a03cb6d144eab4d2fac040904cfb311,1.0,"blacksmith activities, burning metal in to fire for making hoe, cuttles, knives, rings and other blacksmith activities for sales",7221
1784a03cb6d144eab4d2fac040904cfb321,1.0,"livestock rearer, goats and sheeps livestock rearer, feeding livestock, watering and taking care of their health",6121
1784a03cb6d144eab4d2fac040904cfb331,1.0,awara food seller using suya beans for preparing and frying awara cake for sales to customers,9411
1784a03cb6d144eab4d2fac040904cfb341,1.0,"blacksmith activities assistant burning metal in to fire for making hoe, cuttles, knives and other blacksmith activities",7221
983aea8ec5cd4721b112d6bb533c6714211,1.0,"trader, buying and selling of provisions goods like soap, omo, maggi, biscuit, sweet pure water and other goods buying and selling of provisions goods like soap, omo, maggi, salt biscuit and other provisions goods",5211
983aea8ec5cd4721b112d6bb533c6714221,1.0,"trader, buying and selling of groundnut,groundnut cake and dry okro buying measuring and selling of groundnut, groundnut cake and dry okro",5211
566c8db8b04e4dc9af566c18bf21a983611,1.0,"trader, buying and of chicken m hen and fowls buying and selling of chicken',  hen and fowls",5211
af33f275a6ce42d78b403ff8bf2d1feb211,1.0,"trader, buying and selling of sugar cane, buying , cutting and selling of sugar cane",5211
af33f275a6ce42d78b403ff8bf2d1feb221,1.0,"breed, livestock rearing, goat,sheeps and chickens feeding livestock, watering and taking care of their health",6121
af33f275a6ce42d78b403ff8bf2d1feb231,1.0,"trader, buying and selling of drinks buying and selling of drinks, like water, minerals and other drinks",5212
af33f275a6ce42d78b403ff8bf2d1feb241,1.0,"crops farming  assistant millet, beans and guinea corn preparing land, applying fertilizer to farm for next raining farming",6114
46bc7b0ef7294f4aa4d9e74ad6a14269111,1.0,"blacksmith activities, making knives, hoe,cuttles and other blacksmith activities using metal for preparing and making hoe,cuttles, knives and other blacksmith products for sales",7221
46bc7b0ef7294f4aa4d9e74ad6a14269121,1.0,makin and selling of akara cake using beans for preparing and frying akara food for sales,5212
1deb7f5f324a472d8b8d2d82eb969077111,1.0,"trader,  buying and selling of provision goods like sugar, bread, milk, salt, maggi, biscuits,and others buying and selling of provision goods like sugar, bread, milk, salt, maggi, biscuits, and other provision goods",5211
1deb7f5f324a472d8b8d2d82eb969077121,1.0,"guinea corn foods seller, preparing, and cooking guinea corn food for sales",9411
1deb7f5f324a472d8b8d2d82eb969077131,1.0,"trader shop keeper assistant assisting his father for selling provision goods, like biscuits, maggi, salt, sugar, soap and other goods",5211
1deb7f5f324a472d8b8d2d82eb969077141,1.0,"foods sales assistant, helping  her mother for selling foods,  rice and beans selling of cooked  food, rice and beans outside the house",9411
1deb7f5f324a472d8b8d2d82eb969077161,1.0,rearing livestock assistant. helping his mother for rearing of livestock fetching water for watering livestock and other livestock rearing activities,6121
c342d4741ca54baaaf26dfc61d57ab02111,1.0,"trader, buying and selling of grains , millet, maize, guinea 🇬🇳 and beans buying measuring and selling of grains",5211
