label,text
1111,"managers chief executives, senior officials and legislators legislators and senior officials legislators"
1112,"managers chief executives, senior officials and legislators legislators and senior officials senior government officials"
1113,"managers chief executives, senior officials and legislators legislators and senior officials traditional chiefs and heads of villages"
1114,"managers chief executives, senior officials and legislators legislators and senior officials senior officials of special-interest organizations"
1120,"managers chief executives, senior officials and legislators managing directors and chief executives managing directors and chief executives"
1211,managers administrative and commercial managers business services and administration managers finance managers
1212,managers administrative and commercial managers business services and administration managers human resource managers
1213,managers administrative and commercial managers business services and administration managers policy and planning managers
1219,managers administrative and commercial managers business services and administration managers business services and administration managers not elsewhere classified
1221,"managers administrative and commercial managers sales, marketing and development managers sales and marketing managers"
1222,"managers administrative and commercial managers sales, marketing and development managers advertising and public relations managers"
1223,"managers administrative and commercial managers sales, marketing and development managers research and development managers"
1311,"managers production and specialized services managers production managers in agriculture, forestry and fisheries agricultural and forestry production managers"
1312,"managers production and specialized services managers production managers in agriculture, forestry and fisheries aquaculture and fisheries production managers"
1321,"managers production and specialized services managers manufacturing, mining, construction and distribution managers manufacturing managers"
1322,"managers production and specialized services managers manufacturing, mining, construction and distribution managers mining managers"
1323,"managers production and specialized services managers manufacturing, mining, construction and distribution managers construction managers"
1324,"managers production and specialized services managers manufacturing, mining, construction and distribution managers supply, distribution and related managers"
1330,managers production and specialized services managers information and communications technology services managers information and communications technology services managers
1341,managers production and specialized services managers professional services managers child care services managers
1342,managers production and specialized services managers professional services managers health services managers
1343,managers production and specialized services managers professional services managers aged care services managers
1344,managers production and specialized services managers professional services managers social welfare managers
1345,managers production and specialized services managers professional services managers education managers
1346,managers production and specialized services managers professional services managers financial and insurance services branch managers
1349,managers production and specialized services managers professional services managers professional services managers not elsewhere classified
1411,"managers hospitality, retail and other services managers hotel and restaurant managers hotel managers"
1412,"managers hospitality, retail and other services managers hotel and restaurant managers restaurant managers"
1420,"managers hospitality, retail and other services managers retail and wholesale trade managers retail and wholesale trade managers"
1431,"managers hospitality, retail and other services managers other services managers sports, recreation and cultural centre managers"
1439,"managers hospitality, retail and other services managers other services managers services managers not elsewhere classified"
2111,professionals science and engineering professionals physical and earth science professionals physicists and astronomers
2112,professionals science and engineering professionals physical and earth science professionals meteorologists
2113,professionals science and engineering professionals physical and earth science professionals chemists
2114,professionals science and engineering professionals physical and earth science professionals geologists and geophysicists
2120,"professionals science and engineering professionals mathematicians, actuaries and statisticians mathematicians, actuaries and statisticians"
2131,"professionals science and engineering professionals life science professionals biologists, botanists, zoologists and related professionals"
2132,"professionals science and engineering professionals life science professionals farming, forestry and fisheries advisers"
2133,professionals science and engineering professionals life science professionals environmental protection professionals
2141,professionals science and engineering professionals engineering professionals (excluding electrotechnology) industrial and production engineers
2142,professionals science and engineering professionals engineering professionals (excluding electrotechnology) civil engineers
2143,professionals science and engineering professionals engineering professionals (excluding electrotechnology) environmental engineers
2144,professionals science and engineering professionals engineering professionals (excluding electrotechnology) mechanical engineers
2145,professionals science and engineering professionals engineering professionals (excluding electrotechnology) chemical engineers
2146,"professionals science and engineering professionals engineering professionals (excluding electrotechnology) mining engineers, metallurgists and related professionals"
2149,professionals science and engineering professionals engineering professionals (excluding electrotechnology) engineering professionals not elsewhere classified
2151,professionals science and engineering professionals electrotechnology engineers electrical engineers
2152,professionals science and engineering professionals electrotechnology engineers electronics engineers
2153,professionals science and engineering professionals electrotechnology engineers telecommunications engineers
2161,"professionals science and engineering professionals architects, planners, surveyors and designers building architects"
2162,"professionals science and engineering professionals architects, planners, surveyors and designers landscape architects"
2163,"professionals science and engineering professionals architects, planners, surveyors and designers product and garment designers"
2164,"professionals science and engineering professionals architects, planners, surveyors and designers town and traffic planners"
2165,"professionals science and engineering professionals architects, planners, surveyors and designers cartographers and surveyors"
2166,"professionals science and engineering professionals architects, planners, surveyors and designers graphic and multimedia designers"
2211,professionals health professionals medical doctors generalist medical practitioners
2212,professionals health professionals medical doctors specialist medical practitioners
2221,professionals health professionals nursing and midwifery professionals nursing professionals
2222,professionals health professionals nursing and midwifery professionals midwifery professionals
2230,professionals health professionals traditional and complementary medicine professionals traditional and complementary medicine professionals
